#
#   VizieR Astronomical Server webviz.u-strasbg.fr
#    Date: 2017-10-23T21:20:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VOTx36584	
#INFO	-out.max=unlimited	
#INFO	queryParameters=6	
#-oc.form=D.
#-source=USNO-B1
#-c.ra=314.975125
#-c.dec=7.280722
#-c.bm=22.0000000/22.0000000
#-out.max=unlimited
#
#INFO	-c=314.975125+07.280722,bm=22.000000/22.	
#

#RESOURCE=yCat_1284
#Name: I/284
#Title: The USNO-B1.0 Catalog (Monet+ 2003)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_284_out:
#Name: I/284/out
#Title: The Whole-Sky USNO-B1.0 Catalog of 1,045,913,669 sources
#Column	USNO-B1.0	(a12)	Designation of the object (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(I3)	Mean error on RAdeg*cos(DEdeg) at Epoch	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(I3)	Mean error on DEdeg at Epoch	[ucd=stat.error;pos.eq.dec]
#Column	Epoch	(F6.1)	Mean epoch of observation (2)	[ucd=time.epoch;obs]
#Column	pmRA	(I6)	Proper motion in RA (relative to YS4.0)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I6)	Proper motion in DE (relative to YS4.0)	[ucd=pos.pm;pos.eq.dec]
#Column	Ndet	(I1)	[0,5] Number of detections (7)	[ucd=meta.number]
#Column	B1mag	(F5.2)	? First blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R1mag	(F5.2)	? First red magnitude	[ucd=phot.mag;em.opt.R]
#Column	B2mag	(F5.2)	? Second blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R2mag	(F5.2)	? Second red magnitude	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	? Infrared (N) magnitude	[ucd=phot.mag;em.opt.I]
USNO-B1.0	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Epoch	pmRA	pmDE	Ndet	B1mag	R1mag	B2mag	R2mag	Imag
 	deg	deg	mas	mas	yr	mas/yr	mas/yr	 	mag	mag	mag	mag	mag
------------	----------	----------	---	---	------	------	------	-	-----	-----	-----	-----	-----
0972-0684952	314.790845	+07.202398	115	110	1976.0	     0	     0	5	20.55	19.70	20.66	19.30	18.98
0972-0684953	314.791217	+07.266045	743	809	1970.7	     0	     0	2	20.72	     	     	20.92	
0972-0684954	314.791703	+07.291384	 96	 37	1976.0	     0	     0	5	20.11	19.64	19.68	19.32	18.93
0972-0684955	314.791973	+07.217437	124	164	1989.0	     0	     0	2	     	     	21.43	20.45	
0972-0684956	314.793303	+07.201309	342	140	1992.0	     0	     0	2	     	     	21.05	19.85	
0972-0684957	314.793775	+07.298625	 48	 23	1976.0	     0	     0	5	19.13	18.82	18.47	18.37	18.49
0972-0684958	314.794259	+07.224373	 52	155	1971.4	   -12	   -10	4	20.40	20.05	20.69	20.29	
0972-0684959	314.794539	+07.204659	104	 61	1976.0	     0	     0	5	19.11	18.51	18.45	17.80	18.04
0972-0684960	314.795539	+07.241270	129	 42	1976.0	     2	    -6	5	19.90	19.16	18.87	18.46	18.43
0972-0684961	314.797123	+07.232481	248	150	1981.6	     0	     0	4	20.73	     	21.57	20.40	19.17
0972-0684962	314.797517	+07.220125	167	238	1976.0	    40	    -6	5	15.60	12.88	14.60	12.90	11.43
0972-0684963	314.797667	+07.212287	106	 16	1981.6	     0	     0	4	     	19.84	21.20	19.27	18.68
0972-0684964	314.798156	+07.278859	999	410	1978.3	  -496	   172	3	20.73	     	21.09	20.60	
0972-0684965	314.798742	+07.244092	 95	 27	1976.0	     6	    -4	5	18.51	16.85	17.15	16.48	16.07
0972-0684966	314.798834	+07.275845	114	 96	1981.6	     0	     0	4	     	19.91	21.24	19.89	18.66
0972-0684967	314.799112	+07.270912	 41	 43	1976.0	     0	     0	5	20.50	17.89	19.55	17.42	16.63
0972-0684968	314.799287	+07.250120	 89	 45	1976.0	     0	     0	5	16.43	14.87	15.66	14.63	13.75
0972-0684969	314.800000	+07.295309	128	 45	1992.6	     0	     0	2	     	     	     	20.04	19.20
0972-0684970	314.800831	+07.288709	 51	107	1976.0	    22	    12	5	19.58	16.77	18.24	16.43	14.89
0972-0684971	314.801628	+07.246412	 87	120	1976.0	     0	     0	5	19.88	18.65	19.07	18.13	17.98
0972-0684972	314.801639	+07.206631	452	139	1976.0	     0	     0	5	20.71	19.78	20.92	19.37	18.54
0972-0684973	314.801917	+07.264889	 85	 44	1976.0	     0	     0	5	19.30	18.55	18.48	17.62	17.76
0972-0684974	314.802184	+07.262984	130	268	1976.0	     0	     0	5	20.64	19.85	20.69	19.38	18.98
0972-0684975	314.803000	+07.222887	 81	 51	1976.0	     2	    -8	5	17.26	16.12	16.24	15.79	15.18
0972-0684976	314.803073	+07.285203	 71	 80	1976.0	     0	     0	5	17.33	15.91	16.42	15.71	15.34
